'position', 'value'
1.00000000,19.0612177051
6.21052632,100.657317014
11.42105263,111.081064358
16.63157895,232.929497684
21.84210526,224.490699818
27.05263158,279.538416476
32.26315789,377.203193621
37.47368421,443.521259213
42.68421053,444.889816318
47.89473684,527.26112329
53.10526316,569.99383123
58.31578947,635.948010167
63.52631579,667.667229067
68.73684211,734.623416964
73.94736842,754.704089053
79.15789474,834.453817955
84.36842105,828.770429695
89.57894737,884.032674467
94.78947368,925.518393595
100.0,978.592947013
