Date	Aircraft	Origin	Destination	Departure	Arrival	Duration
07/26/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:01AM WEST	01:14PM EDT	07:13:00 AM
07/25/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	10:55AM WEST	01:48PM EDT	07:53:00 AM
07/24/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:01AM WEST	01:33PM EDT	07:31:00 AM
07/23/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	12:14PM WEST	02:55PM EDT	07:40:00 AM
07/22/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:22AM WEST	02:03PM EDT	07:40:00 AM
07/21/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:04AM WEST	01:36PM EDT	07:32:00 AM
07/20/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	12:05PM WEST	02:16PM EDT	07:11:00 AM
07/19/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:21AM WEST	01:39PM EDT	07:17:00 AM
07/18/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	10:55AM WEST	01:23PM EDT	07:28:00 AM
07/17/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	12:25PM WEST	02:38PM EDT	07:12:00 AM
07/16/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:02AM WEST	01:22PM EDT	07:19:00 AM
07/15/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	10:59AM WEST	01:21PM EDT	07:21:00 AM
07/14/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	01:54PM WEST	04:30PM EDT	07:35:00 AM
07/13/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:06AM WEST	01:12PM EDT	07:06:00 AM
07/12/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:10AM WEST	01:24PM EDT	07:13:00 AM
07/11/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:07AM WEST	01:41PM EDT	07:34:00 AM
07/10/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	12:25PM WEST	03:05PM EDT	07:40:00 AM
07/09/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	10:58AM WEST	01:37PM EDT	07:39:00 AM
07/08/15	B752/Z	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	12:00PM WEST	02:19PM EDT	07:19:00 AM
07/07/15	B752	Lisbon / Lisboa,Portela (Lisbon) (LPPT / LIS)	Philadelphia Intl (KPHL)	11:26AM WEST	01:33PM EDT	07:07:00 AM
