# scan = 116
# date = 4/10/2012
# time = 7:43:01 PM
# proposal = IPTS-6623
# experiment = Real-time observation of magnetic structural change in a frustrated magnet system Ca3(Co,Mg)2O6
# experiment_number = 469
# command = scan h 0.4 1.3 0.05 k 0 l 1 e 5 preset mcu 10
# builtin_command = scan h 0.4 1.3 0.05 k 0 l 1 e 5 preset mcu 10
# users = W. Tian, M. Wang, and P. Dai
# local_contact = Masa
# scan_title = sgl 6.6607
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-80-80-120
# samplename = Rb0.8Fe1.6+xSe2
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.550617,5.550617,14.702309,90.000000,90.000000,90.000000
# ubmatrix = 0.178395,-0.020897,0.005288,0.013227,-0.007415,-0.067775,0.021399,0.178790,-0.002193
# mode = 0
# plane_normal = -0.115989,-0.041160,0.992397
# ubconf = UB10Apr2012_74301PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 10.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l          e       time   detector    monitor        mcu focal_length         m1         m2       marc     mtrans     mfocus         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef       tvti    tsample       temp
      1     0.3995     0.0000     0.9989     4.9957    624.078    724.000 9275400.000     10.000    57.7022   103.5480    35.3581    -3.4605     4.0000   206.7451    -7.9823    -9.1873     6.6615    -2.3735     0.0010     0.0020    20.5829    41.1588     0.6219    19.7008    14.7050    13.0620    14.4530    13.000
      2     0.4501     0.0000     0.9991     4.9957    622.958    669.000 9275400.000     10.000    57.7022   103.5480    35.3581    -3.4605     4.0000   206.7451    -8.6253   -10.3222     6.6610    -2.3735     0.0010     0.0020    20.5829    41.1588     0.6647    19.7008    14.7050    12.9280    14.4290    13.000
      3     0.5002     0.0000     0.9991     4.9956    622.722    775.000 9275400.000     10.000    57.7022   103.5480    35.3581    -3.4605     4.0000   206.7451    -9.2493   -11.4493     6.6610    -2.3735     0.0010     0.0020    20.5829    41.1586     0.7091    19.7008    14.7052    12.9840    14.4370    13.000
      4     0.5500     0.0000     0.9991     4.9957    622.864    698.000 9275400.000     10.000    57.7022   103.5480    35.3581    -3.4605     4.0000   206.7451    -9.8606   -12.5722     6.6610    -2.3735     0.0010     0.0020    20.5829    41.1588     0.7549    19.7008    14.7050    12.9930    14.4320    13.000
      5     0.6001     0.0000     0.9991     4.9956    622.903    635.000 9275400.000     10.000    57.7022   103.5480    35.3581    -3.4605     4.0000   206.7451   -10.4620   -13.7052     6.6610    -2.3735     0.0010     0.0020    20.5829    41.1586     0.8023    19.7008    14.7052    13.0090    14.4310    13.000
      6     0.6501     0.0000     0.9991     4.9956    622.012    649.000 9275400.000     10.000    57.7022   103.5480    35.3581    -3.4605     4.0000   206.7451   -11.0559   -14.8393     6.6610    -2.3735     0.0010     0.0020    20.5829    41.1586     0.8508    19.7008    14.7052    13.0460    14.4410    13.000
      7     0.7000     0.0000     0.9990     4.9956    621.909    671.000 9275400.000     10.000    57.7022   103.5480    35.3581    -3.4605     4.0000   206.7451   -11.6438   -15.9728     6.6610    -2.3735     0.0010     0.0020    20.5829    41.1586     0.9001    19.7008    14.7052    12.9710    14.4350    13.000
      8     0.7502     0.0000     0.9991     4.9956    621.529    752.000 9275400.000     10.000    57.7022   103.5480    35.3581    -3.4605     4.0000   206.7451   -12.2280   -17.1163     6.6610    -2.3735     0.0010     0.0020    20.5829    41.1586     0.9506    19.7008    14.7052    12.9450    14.4350    13.000
      9     0.7999     0.0000     0.9990     4.9956    621.251    879.000 9275400.000     10.000    57.7022   103.5480    35.3581    -3.4605     4.0000   206.7451   -12.8085   -18.2491     6.6610    -2.3735     0.0010     0.0020    20.5829    41.1586     1.0011    19.7008    14.7052    13.0180    14.4350    13.000
     10     0.8501     0.0000     0.9991     4.9956    620.599    853.000 9275400.000     10.000    57.7022   103.5480    35.3581    -3.4605     4.0000   206.7451   -13.3869   -19.3958     6.6610    -2.3735     0.0010     0.0020    20.5829    41.1586     1.0528    19.7008    14.7052    12.9790    14.4540    13.000
     11     0.9001     0.0000     0.9991     4.9956    621.058    719.000 9275400.000     10.000    57.7022   103.5480    35.3581    -3.4605     4.0000   206.7451   -13.9627   -20.5411     6.6610    -2.3735     0.0010     0.0020    20.5829    41.1586     1.1047    19.7008    14.7052    13.0550    14.4380    13.000
     12     0.9500     0.0000     0.9990     4.9956    620.951    717.000 9275400.000     10.000    57.7022   103.5480    35.3581    -3.4605     4.0000   206.7451   -14.5378   -21.6873     6.6610    -2.3735     0.0010     0.0020    20.5829    41.1586     1.1571    19.7008    14.7052    12.9740    14.4380    13.000
     13     1.0001     0.0000     0.9991     4.9957    621.590    766.000 9275400.000     10.000    57.7022   103.5480    35.3581    -3.4605     4.0000   206.7451   -15.1116   -22.8395     6.6610    -2.3735     0.0010     0.0020    20.5829    41.1588     1.2100    19.7008    14.7050    12.9670    14.4310    13.000
     14     1.0500     0.0000     0.9991     4.9957    621.093    733.000 9275400.000     10.000    57.7022   103.5480    35.3581    -3.4605     4.0000   206.7451   -15.6845   -23.9901     6.6610    -2.3735     0.0010     0.0020    20.5829    41.1588     1.2630    19.7008    14.7050    13.0400    14.4320    13.000
