x1	y1	e1	x2	y2	e2
3.1	2.49E+02	1.21E+01	1.6	4.84E+01	6.92E+01
3.2	2.38E+02	9.00E+00	1.7	2.31E+02	5.22E+01
3.2	2.24E+02	7.96E+00	1.7	1.57E+02	4.40E+01
3.3	2.21E+02	7.08E+00	1.8	1.24E+02	3.89E+01
3.4	2.31E+02	6.72E+00	1.9	1.35E+02	3.58E+01
3.4	2.30E+02	6.22E+00	1.9	2.08E+02	3.36E+01
3.5	2.33E+02	5.98E+00	2	1.73E+02	3.11E+01
3.6	2.42E+02	5.85E+00	2.1	2.01E+02	2.96E+01
3.6	2.17E+02	5.49E+00	2.1	1.46E+02	2.73E+01
3.7	2.20E+02	5.37E+00	2.2	2.01E+02	2.67E+01
3.8	2.32E+02	5.14E+00	2.3	1.61E+02	2.45E+01
3.8	2.21E+02	4.95E+00	2.3	1.92E+02	2.42E+01
3.9	2.14E+02	4.86E+00	2.4	1.48E+02	2.14E+01
4	2.27E+02	4.78E+00	2.5	1.47E+02	2.17E+01
4	2.20E+02	4.67E+00	2.5	1.30E+02	1.95E+01
4.1	2.16E+02	4.51E+00	2.6	1.43E+02	1.99E+01
4.2	2.12E+02	4.35E+00	2.7	1.85E+02	1.90E+01
4.2	2.23E+02	4.35E+00	2.7	1.57E+02	1.80E+01
4.3	2.19E+02	4.19E+00	2.8	1.44E+02	1.74E+01
4.4	2.22E+02	4.17E+00	2.9	1.53E+02	1.63E+01
4.4	2.18E+02	4.13E+00	2.9	1.58E+02	1.65E+01
4.5	2.21E+02	4.03E+00	3	1.52E+02	1.54E+01
4.6	2.17E+02	4.03E+00	3.1	1.53E+02	1.54E+01
4.6	2.17E+02	3.98E+00	3.1	1.42E+02	1.44E+01
4.7	2.16E+02	3.86E+00	3.2	1.63E+02	1.46E+01
4.8	2.15E+02	3.81E+00	3.3	1.27E+02	1.38E+01
4.8	2.14E+02	3.78E+00	3.3	1.39E+02	1.31E+01
4.9	2.21E+02	3.79E+00	3.4	1.64E+02	1.34E+01
5	2.17E+02	3.65E+00	3.5	1.57E+02	1.26E+01
5	2.13E+02	3.65E+00	3.5	1.54E+02	1.27E+01
5.1	2.18E+02	3.61E+00	3.6	1.41E+02	1.19E+01
5.2	2.20E+02	3.56E+00	3.7	1.33E+02	1.17E+01
5.2	2.17E+02	3.50E+00	3.7	1.18E+02	1.11E+01
5.3	2.14E+02	3.45E+00	3.8	1.44E+02	1.12E+01
5.3	2.17E+02	3.44E+00	3.8	1.61E+02	1.13E+01
5.4	2.18E+02	3.41E+00	3.9	1.18E+02	1.02E+01
5.5	2.11E+02	3.41E+00	4	1.34E+02	1.05E+01
5.5	2.13E+02	3.38E+00	4	1.31E+02	1.01E+01
5.6	2.17E+02	3.33E+00	4.1	1.47E+02	1.04E+01
5.7	2.20E+02	3.30E+00	4.2	1.42E+02	9.82E+00
5.7	2.10E+02	3.22E+00	4.2	1.37E+02	9.77E+00
5.8	2.13E+02	3.26E+00	4.3	1.36E+02	9.62E+00
5.9	2.16E+02	3.18E+00	4.4	1.42E+02	9.30E+00
5.9	2.16E+02	3.21E+00	4.4	1.34E+02	9.19E+00
6	2.09E+02	3.12E+00	4.5	1.33E+02	8.74E+00
6.1	2.12E+02	3.10E+00	4.6	1.30E+02	8.98E+00
6.1	2.12E+02	3.08E+00	4.6	1.39E+02	8.81E+00
6.2	2.16E+02	3.07E+00	4.7	1.39E+02	8.76E+00
6.3	2.13E+02	3.04E+00	4.8	1.39E+02	8.39E+00
6.3	2.12E+02	2.98E+00	4.8	1.50E+02	8.34E+00
6.4	2.13E+02	2.97E+00	4.9	1.30E+02	8.21E+00
6.5	2.10E+02	2.92E+00	5	1.34E+02	7.92E+00
6.5	2.14E+02	2.94E+00	5	1.45E+02	8.05E+00
6.6	2.17E+02	2.89E+00	5.1	1.41E+02	7.87E+00
6.7	2.12E+02	2.87E+00	5.2	1.34E+02	7.80E+00
6.7	2.09E+02	2.88E+00	5.2	1.37E+02	7.66E+00
6.8	2.12E+02	2.82E+00	5.3	1.24E+02	7.41E+00
6.9	2.13E+02	2.83E+00	5.4	1.22E+02	7.26E+00
6.9	2.15E+02	2.80E+00	5.4	1.26E+02	7.13E+00
7	2.11E+02	2.78E+00	5.5	1.27E+02	7.21E+00
7.1	2.11E+02	2.75E+00	5.6	1.22E+02	6.94E+00
7.1	2.12E+02	2.75E+00	5.6	1.30E+02	7.11E+00
7.2	2.13E+02	2.71E+00	5.7	1.17E+02	6.82E+00
7.3	2.12E+02	2.71E+00	5.8	1.26E+02	6.84E+00
7.3	2.07E+02	2.69E+00	5.8	1.28E+02	6.76E+00
7.4	2.10E+02	2.67E+00	5.9	1.31E+02	6.67E+00
7.5	2.10E+02	2.68E+00	6	1.28E+02	6.70E+00
7.5	2.09E+02	2.64E+00	6	1.30E+02	6.55E+00
7.6	2.07E+02	2.60E+00	6.1	1.23E+02	6.41E+00
7.7	2.10E+02	2.59E+00	6.2	1.35E+02	6.40E+00
7.7	2.05E+02	2.58E+00	6.2	1.34E+02	6.46E+00
7.8	2.13E+02	2.57E+00	6.3	1.24E+02	6.23E+00
7.9	2.11E+02	2.54E+00	6.4	1.29E+02	6.12E+00
7.9	2.10E+02	2.53E+00	6.4	1.36E+02	6.27E+00
8	2.07E+02	2.47E+00	6.5	1.29E+02	6.04E+00
8.1	2.09E+02	2.51E+00	6.5	1.28E+02	6.09E+00
8.1	2.08E+02	2.46E+00	6.6	1.22E+02	5.90E+00
8.2	2.07E+02	2.47E+00	6.7	1.29E+02	5.93E+00
8.2	2.12E+02	2.45E+00	6.7	1.30E+02	5.91E+00
8.3	2.06E+02	2.43E+00	6.8	1.35E+02	5.84E+00
8.4	2.10E+02	2.45E+00	6.9	1.32E+02	5.91E+00
8.4	2.07E+02	2.41E+00	6.9	1.25E+02	5.75E+00
8.5	2.11E+02	2.41E+00	7	1.23E+02	5.69E+00
8.6	2.11E+02	2.39E+00	7.1	1.24E+02	5.62E+00
8.6	2.11E+02	2.40E+00	7.1	1.12E+02	5.47E+00
8.7	2.05E+02	2.37E+00	7.2	1.28E+02	5.59E+00
8.8	2.04E+02	2.35E+00	7.3	1.24E+02	5.44E+00
8.8	2.09E+02	2.35E+00	7.3	1.30E+02	5.62E+00
8.9	2.06E+02	2.32E+00	7.4	1.35E+02	5.47E+00
9	2.06E+02	2.31E+00	7.5	1.20E+02	5.44E+00
9	2.06E+02	2.29E+00	7.5	1.29E+02	5.33E+00
9.1	2.07E+02	2.31E+00	7.6	1.32E+02	5.43E+00
9.2	2.05E+02	2.26E+00	7.7	1.28E+02	5.32E+00
9.2	2.06E+02	2.27E+00	7.7	1.27E+02	5.22E+00
9.3	2.08E+02	2.27E+00	7.8	1.25E+02	5.19E+00
9.4	2.06E+02	2.23E+00	7.9	1.36E+02	5.25E+00
9.4	2.05E+02	2.25E+00	7.9	1.35E+02	5.21E+00
9.5	2.06E+02	2.23E+00	8	1.21E+02	5.03E+00
9.6	2.04E+02	2.22E+00	8.1	1.23E+02	5.10E+00
9.6	2.05E+02	2.19E+00	8.1	1.26E+02	5.00E+00
9.7	2.03E+02	2.20E+00	8.2	1.26E+02	4.95E+00
9.8	2.11E+02	2.19E+00	8.3	1.19E+02	4.92E+00
9.8	2.05E+02	2.17E+00	8.3	1.23E+02	4.88E+00
9.9	2.07E+02	2.16E+00	8.4	1.29E+02	5.02E+00
10	2.04E+02	2.15E+00	8.5	1.22E+02	4.83E+00
10	2.06E+02	2.14E+00	8.5	1.28E+02	4.88E+00
10.1	2.06E+02	2.13E+00	8.6	1.21E+02	4.79E+00
10.2	2.04E+02	2.13E+00	8.7	1.29E+02	4.84E+00
10.2	2.06E+02	2.11E+00	8.7	1.28E+02	4.80E+00
10.3	2.04E+02	2.10E+00	8.8	1.27E+02	4.73E+00
10.4	2.03E+02	2.10E+00	8.9	1.17E+02	4.70E+00
10.4	2.04E+02	2.10E+00	8.9	1.19E+02	4.62E+00
10.5	2.05E+02	2.10E+00	9	1.16E+02	4.68E+00
